Model Name,Loss,Accuracy,Precision,Recall
XGBoost,0.0,0.0,0.0,0.0
XGBoost,0.5859463597462026,0.8211160714285715,0.9130264777907592,0.709988891340422
XGBoost,0.5054855568676954,0.8195535714285714,0.9201137882911462,0.6999722451918227
XGBoost,0.4660353038541329,0.8196428571428571,0.9201318026881804,0.7001484834597499
XGBoost,0.4265014580869042,0.8275,0.9214619773188036,0.7161526641887761
XGBoost,0.4287063845891599,0.8273660714285714,0.9211471642930084,0.7161526641887761
XGBoost,0.4097583264226218,0.8277232142857143,0.9219910249134804,0.7161526641887761
XGBoost,0.3932363314508595,0.8336160714285714,0.9219818581138084,0.729002113564642
XGBoost,0.3794557613243,0.8407589285714285,0.9388739243658268,0.7290910815361722
XGBoost,0.3749455390805506,0.8413392857142857,0.9407814076849962,0.728641800568588
XGBoost,0.37353478794557043,0.8413392857142857,0.9407814076849962,0.728641800568588
