Model Name,Loss,Accuracy,Precision,Recall
mlp,0.0,0.0,0.0,0.0
MLP,0.6564353823661804,0.5003125011920929,0.5001551985740662,1.0
MLP,0.6510725975036621,0.5279910683631897,0.515357780456543,0.938648235797882
MLP,0.6460060119628906,0.5301785707473755,0.5166255712509156,0.9372174263000488
MLP,0.6409698128700256,0.5319642782211303,0.5176496863365173,0.9370380878448488
MLP,0.6360068202018738,0.6210714340209961,0.5741931676864624,0.9370380878448488
MLP,0.6310625195503234,0.6694642901420593,0.6114413857460022,0.9296308517456054
MLP,0.6259973168373107,0.7290178656578064,0.6974282503128052,0.809018325805664
MLP,0.6208066344261169,0.7299107193946839,0.6989939093589783,0.8075941324234008
MLP,0.6155521273612976,0.7703571438789367,0.9069109916687011,0.6026316165924073
MLP,0.6101969718933106,0.77285715341568,0.922487223148346,0.5958474636077881
