Model Name,Loss,Accuracy,Precision,Recall
Logistic Regression,0.0,0.0,0.0,0.0
Logistic Regression,0.3257066744443919,0.8407589285714285,0.8913168666729596,0.7761617382313464
Logistic Regression,0.2954764648011813,0.8654017857142857,0.9409245482459624,0.7797237049355589
Logistic Regression,0.2827626276119532,0.8646875,0.9440790022979508,0.7752517324761504
Logistic Regression,0.2846237242119876,0.8758035714285715,0.956262574567364,0.7875894412372673
Logistic Regression,0.2863509423642438,0.8731696428571428,0.9553744229078324,0.7828451382838104
Logistic Regression,0.2800464609038736,0.8720982142857143,0.953963320659992,0.7818614616769309
Logistic Regression,0.2873447159872836,0.8702232142857143,0.9541498675122708,0.777759782008579
Logistic Regression,0.288281060336553,0.8699553571428571,0.9539193198829188,0.7773997071070071
Logistic Regression,0.2884457846359145,0.8916071428571428,0.9550087244780304,0.8218535810116188
Logistic Regression,0.2938206691948451,0.891875,0.9556987965328192,0.8217632059551343
